š	_s_caron	5
ş	_s_cedille	5
ș	_s_comma	5
ť	_t_caron	5
ź	_z_acute	5
ž	_z_caron	5
ż	_z_overdot	5
Ŕ	_r_acute_	5
Ă	_a_breve_	7
Ĺ	_l_acute_	5
Ć	_c_acute_	6
Č	_c_caron_	6
Ę	_e_ogonek_	5
Ě	_e_caron_	5
Ď	_d_caron_	6
Ń	_n_acute_	6
Ň	_n_caron_	6
Ő	_o_2acute_	6
Ř	_r_caron_	5
Ů	_u_ring_	6
Ű	_u_2acute_	6
Ţ	_t_cedille_	5
Ț	_t_comma_	5
ŕ	_r_acute	5
ă	_a_breve	5
ĺ	_l_acute	5
ć	_c_acute	5
č	_c_caron	5
ę	_e_ogonek	5
ě	_e_caron	5
ď	_d_caron	5
ń	_n_acute	5
ň	_n_caron	5
ő	_o_2acute	5
ř	_r_caron	5
ů	_u_ring	5
ű	_u_2acute	5
ţ	_t_cedille	5
ț	_t_comma	5
Ħ	_h_stroke_	6
Ĥ	_h_circumflex_	6
İ	_i_overdot_	3
Ğ	_g_breve_	6
Ĵ	_j_circumflex_	4
ħ	_h_stroke	5
ĥ	_h_circumflex	5
ı	_i_dotless	3
ğ	_g_breve	5
ĵ	_j_circumflex	3
Ċ	_c_overdot_	6
Ĉ	_c_circumflex_	6
Ġ	_g_overdot_	6
Ĝ	_g_circumflex_	6
Ŭ	_u_breve_	6
Ŝ	_s_circumflex_	5
ċ	_c_overdot	5
ĉ	_c_circumflex	5
ġ	_g_overdot	5
ĝ	_g_circumflex	5
ŭ	_u_breve	5
ŝ	_s_circumflex	5

ĸ	_cyr_k	4
Ŗ	_r_cedille_	5
Ĩ	_i_tilde_	3
Ļ	_l_cedille_	4
Ē	_e_macron_	5
Ģ	_g_cedille_	6
Ŧ	_t_stroke_	5
ĩ	_i_tilde	3
ļ	_l_cedille	3
ē	_e_macron	5
ģ	_g_cedille	5
ŧ	_t_stroke	5
Ŋ	_eng_	6
ŋ	_eng	5
Ā	_a_macron_	7
Į	_i_ogonek_	3
Ė	_e_overdot_	5
Ī	_i_macron_	3
Ņ	_n_cedille_	6
Ō	_o_macron_	6
Ķ	_k_cedille_	5
Ų	_u_ogonek_	6
Ũ	_u_tilde_	6
Ū	_u_macron_	6
ā	_a_macron	5
į	_i_ogonek	3
ė	_e_overdot	5
ī	_i_macron	3
ņ	_n_cedille	5
ō	_o_macron	5
ķ	_k_cedille	5
ų	_u_ogonek	5
ũ	_u_tilde	5
ū	_u_macron	5

А	_a_	7
а	_a	5
Ӑ	_a_breve_	7
ӑ	_a_breve	5
Ӓ	_ae_	7
ӓ	_ae	5
Ә	_cyr_ae_	5
ә	_cyr_ae	5
Б	_cyr_b_	5
б	_cyr_b	5
В	_b_	5
в	_cyr_v	5
Г	_cyr_g_	5
г	_cyr_g	5
Ґ	_cyr_ge_	5
ґ	_cyr_ge	5
Ғ	_cyr_g_stroke_	5
ғ	_cyr_g_stroke	5
Д	_cyr_d_	5
д	_g	5
Ђ	_cyr_dje_	5
ђ	_cyr_dje	5
Ѓ	_cyr_gje_	5
ѓ	_cyr_gje	5
Е	_e_	5
е	_e	5
Ѐ	_e_grave_	5
ѐ	_e_grave	5
Ё	_ee_	5
ё	_ee	5
Є	_cyr_ye_	5
є	_cyr_ye	5
Ж	_cyr_zh_	6
ж	_cyr_zh	6
Ӂ	_cyr_zh_breve_	6
ӂ	_cyr_zh_breve	6
З	_cyr_z_	5
з	_cyr_z	4
Ѕ	_s_	4
ѕ	_s	4
И	_cyr_i_	5
и	_u	4
Ѝ	_cyr_i_grave_	5
ѝ	_u_grave	4
Ӣ	_cyr_i_macron_	5
ӣ	_u_macron	4
Й	_cyr_i_breve_	5
й	_u_breve	4
Ӥ	_cyr_i_diaresis_	5
ӥ	_ue	4
І	_i_	5
і	_i	5
Ї	_cyr_yi_	5
ї	_cyr_yi	5
Ј	_j_	5
ј	_j	5
К	_k_	5
к	_cyr_k	4
Ќ	_cyr_kje_	5
ќ	_cyr_kje	4
Қ	_cyr_kh_	5
қ	_cyr_kh	4
Л	_cyr_l_	5
л	_cyr_l	5
Љ	_cyr_lje_	6
љ	_cyr_lje	6
М	_m_	5
м	_cyr_m	5
Н	_h_	5
н	_cyr_n	4
Ң	_cyr_ng_	5
ң	_cyr_ng	4
Њ	_cyr_nje_	6
њ	_cyr_nje	5
О	_o_	4
о	_o	4
Ӧ	_oe_	4
ӧ	_oe	4
Ѳ	_cyr_oo_	4
ѳ	_cyr_oo	4
Ө	_cyr_oo_	4
ө	_cyr_oo	4
П	_cyr_p_	5
п	_cyr_p	4
Р	_p_	5
р	_p	5
С	_c_	4
с	_c	4
Т	_t_	5
т	_cyr_t	4
Ћ	_cyr_tshe_	5
ћ	_cyr_tshe	4
У	_cyr_u_	5
у	_y	4
Ӯ	_cyr_u_macron_	5
ӯ	_y_macron	4
Ў	_cyr_u_breve_	5
ў	_y_breve	4
Ӱ	_cyr_u_diaresis_	5
ӱ	_y_diaresis	4
Ұ	_cyr_ue_	5
ұ	_cyr_ue	4
Ү	_y_	5
ү	_cyr_uu	4
Ф	_cyr_f_	5
ф	_cyr_f	5
Х	_x_	5
х	_x	5
Һ	_cyr_h_	6
һ	_h	5
Ц	_cyr_c_	5
ц	_cyr_c	5
Ч	_cyr_ch_	6
ч	_cyr_ch	5
Џ	_cyr_dzhe_	5
џ	_cyr_dzhe	5
Ш	_cyr_sh_	5
ш	_cyr_sh	5
Щ	_cyr_shch_	5
щ	_cyr_shch	5
Ъ	_cyr_yer_	5
ъ	_cyr_yer	5
Ы	_cyr_yery_	5
ы	_cyr_yery	5
Ь	_cyr_yerj_	5
ь	_cyr_yerj	5
Ѣ	_cyr_yat_	5
ѣ	_cyr_yat	5
Э	_cyr_e_	5
э	_cyr_e	5
Ю	_cyr_yu_	5
ю	_cyr_yu	5
Я	_cyr_ya_	5
я	_cyr_ya	5

Α	_a_	6
α	_grk_a	5
Ά	_grk_a_tonos_	6
ά	_grk_a_tonos	5
Β	_b_	5
β	_grk_b	5
Γ	_cyr_g_	5
γ	_y	5
Δ	_grk_d_	5
δ	_grk_d	5
Ε	_e_	5
ε	_grk_e	4
Έ	_grk_e_tonos_	5
έ	_grk_e_tonos	4
Ζ	_z_	5
ζ	_grk_z	4
Η	_h_	5
η	_grk_eta	4
Ή	_grk_eta_tonos_	5
ή	_grk_eta_tonos	4
Θ	_cyr_oo_	4
ϴ	_cyr_oo_	4
θ	_grk_th	4
ϑ	_grk_ths	5
Ι	_i_	5
ι	_i_dotless	5
Ί	_grk_i_tonos_	5
ί	_grk_i_tonos	5
Ϊ	_cyr_yi_	5
ϊ	_cyr_yi	5
ΐ	_grk_i_dtonos	5
Κ	_k_	5
κ	_cyr_k	4
Ϗ	_grk_kai_	5
ϗ	_grk_kai	5
Λ	_grk_l_	5
λ	_grk_l	4
Μ	_m_	5
µ	_mu	5
μ	_mu	5
Ν	_n_	5
ν	_v	5
Ξ	_grk_xi_	5
ξ	_grk_xi	5
Ο	_o_	4
ο	_o	4
Ό	_grk_o_tonos_	5
ό	_grk_o_tonos	4
Π	_cyr_p_	6
π	_grk_pi	5
Ρ	_p_	5
ρ	_grk_r	4
Σ	_grk_s_	5
σ	_grk_s	5
ς	_grk_c	5
Τ	_t_	5
τ	_grk_t	5
Υ	_y_	5
υ	_u	5
Ύ	_grk_u_tonos_	5
ύ	_grk_u_tonos	5
Ϋ	_y_diaresis_	5
ϋ	_ue	5
ΰ	_grk_u_dtonos	5
Φ	_cyr_f_	5
φ	_grk_f	5
ϕ	_cyr_f	5
Χ	_x_	5
χ	_grk_ch	5
Ψ	_grk_ps_	5
ψ	_grk_ps	5
Ω	_grk_om_	4
ω	_grk_om	5
Ώ	_grk_om_tonos_	4
ώ	_grk_om_tonos	5

‐	_hyphen	5
…	_ellipsis	5
↵	_return	6
